layer,table,col,data_type,nullable,pkey,fkey,description,keep,keep_in_rag,domain,synonyms,column_type,aggregation,schema,enum
silver,company_contacts,company_key,varchar,0,,,Mã định danh duy nhất của công ty trong hệ thống CRM.,True,False,crm,Mã công ty;Company ID;Mã định danh công ty;Company Key;Mã khách hàng;Customer ID;Mã doanh nghiệp;Enterprise Key;Company Identifier,id,count_distinct,crm,
silver,company_contacts,company_name,varchar,0,,,Tên công ty mà liên hệ thuộc về trong hệ thống CRM.,True,False,crm,tên công ty;company name;tên doanh nghiệp;company;tên công ty khách hàng;customer company name;tên công ty liên hệ;company's name;Tên công ty trong CRM;company title,dimension,count;count_distinct,crm,
silver,company_contacts,created_at,timestamp(3),0,,,Thời điểm mà bản ghi liên hệ công ty được tạo trong hệ thống.,True,False,crm,ngày tạo;thời gian tạo;thời điểm tạo;ngày ghi nhận;thời gian ghi nhận;creation date;created timestamp;record creation time;date created;khi nào được tạo,time,none,crm,
silver,company_contacts,contact_name,varchar,1,,,Tên hiển thị của liên hệ trong hệ thống CRM.,True,False,crm,tên hiển thị;display name;tên liên hệ;contact name;tên đầy đủ;full name;Tên người liên hệ;person name;Tên trên giao diện;displayed name,dimension,count;count_distinct,crm,
silver,company_contacts,email,varchar,1,,,Địa chỉ email của liên hệ công ty.,True,False,crm,email;địa chỉ email;email liên hệ;contact email;địa chỉ thư điện tử;email của công ty;email address;địa chỉ email công ty;email người liên hệ;email field,dimension,count;count_distinct,crm,
silver,company_contacts,source_system,varchar,1,,,Hệ thống nguồn mà thông tin liên hệ được lấy về.,True,False,crm,hệ thống nguồn;nguồn hệ thống;nguồn dữ liệu;hệ thống gốc;hệ thống tạo liên hệ;source system;origin system;source application;originating system;source platform,dimension,count;count_distinct,crm,cso ; crm
silver,company_contacts,updated_at,timestamp(3),0,,,Thời điểm cuối cùng mà thông tin liên hệ công ty được cập nhật.,True,False,crm,thời gian cập nhật;ngày cập nhật;thời điểm cập nhật;cập nhật lúc;thời gian sửa đổi;last updated;update timestamp;modified at;record updated time;khi nào được cập nhật,time,none,crm,
silver,crm_contract_allocations,am_username,varchar,1,,,Tên đăng nhập của người quản lý tài khoản chịu trách nhiệm hợp đồng.,True,True,crm,tên đăng nhập AM;account manager username;AM username;tên người quản lý tài khoản;username của người bán;người phụ trách hợp đồng;sales rep username;who is the account manager,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,company_alias,varchar,1,,,Tên viết tắt hoặc biệt danh của khách hàng (company) trong hệ thống CRM.,True,True,crm,bí danh công ty;company alias;tên viết tắt công ty;company short name;tên ngắn gọn công ty;company nickname;tên thay thế công ty;company alternative name;tên công ty (alias);company name alias,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,company_id,varchar,1,1.0,,Mã định danh duy nhất của khách hàng công ty liên quan đến hợp đồng trong CRM.,True,False,crm,Mã công ty;Company ID;ID công ty;Company Code;Mã khách hàng;Company Identifier;Mã doanh nghiệp;Company key;Mã công ty trong CRM;Company identifier,id,count_distinct,crm,
silver,crm_contract_allocations,company_name,varchar,1,,,Tên đầy đủ về công ty của khách hàng liên quan đến hợp đồng.,True,False,crm,Tên công ty;Company name;Tên doanh nghiệp;Tên khách hàng;Tên công ty trong hợp đồng;Company;Tên công ty (client);Tên công ty (partner),dimension,count;count_distinct,crm,
silver,crm_contract_allocations,contract_id,bigint,0,1.0,,Mã định danh duy nhất của hợp đồng trong hệ thống CRM.,True,False,crm,Mã hợp đồng;Contract ID;Mã số hợp đồng;Contract identifier;ID hợp đồng;Contract number;Số hợp đồng;Mã hợp đồng CRM;Contract key;Mã hợp đồng duy nhất,id,count_distinct,crm,
silver,crm_contract_allocations,created_at,timestamp(3),0,,,Ngày tạo bản ghi phân bổ hợp đồng trong CRM.,True,False,crm,ngày tạo;thời gian tạo;ngày ghi nhận;ngày khởi tạo;thời điểm tạo;creation date;record creation date;date created;when was the record created,time,none,crm,
silver,crm_contract_allocations,currency_code,varchar,1,,,Mã tiền tệ được sử dụng cho hợp đồng trong hệ thống CRM.,True,False,finance,"Mã tiền tệ;Currency code;Mã tiền tệ hợp đồng;Currency;Tiền tệ;Mã tiền tệ giao dịch;Currency abbreviation;Mã tiền tệ (USD, VND);Tiền tệ trong hợp đồng;Currency symbol",dimension,count;count_distinct,crm,'VND' ; 'USD'
silver,crm_contract_allocations,customer_group,varchar,1,,,Nhóm khách hàng theo mức độ ưu tiên,True,False,crm,nhóm khách hàng;customer group;phân khúc khách hàng;customer segment;loại khách hàng;customer type;phân loại khách hàng;customer classification;customer group name;nhóm khách hàng CRM,dimension,count;count_distinct,crm,VVIP' ; 'VIP' ; 'Growth' ; 'Standard'
silver,crm_contract_allocations,customer_segment_l1,varchar,1,,,"Phân khúc cấp 1 của khách hàng, mô tả nhóm khách hàng chính dựa trên tiêu chí phân loại doanh nghiệp.",True,True,crm,phân khúc khách hàng cấp 1;customer segment level 1;đoạn khách hàng L1;primary customer segment;customer tier;nhóm khách hàng chính;customer segment;phân khúc L1;customer group level 1;loại khách hàng,dimension,count;count_distinct,crm,'Khách hàng ngoài' ; 'Nội bộ' ; 'International' ; 'Bộ Quốc phòng'
silver,crm_contract_allocations,customer_segment_l2,varchar,1,,,"Phân khúc cấp 2 của khách hàng, mô tả nhóm chi tiết trong hệ thống CRM.",True,True,crm,phân khúc khách hàng cấp 2;customer segment level 2;customer sub‑segment;sub segment;segment 2;customer tier 2;phân khúc phụ;customer segment L2;segment khách hàng cấp 2;customer segment L2,dimension,count;count_distinct,crm,'Khách hàng ngoài' ; 'Khách hàng nội bộ' ; 'Viettel Global Partner' ; 'UNKNOWN' ; 'Direct / Local Channel' ; 'Khách hàng SI ngoài' ; 'Khách hàng SI nội bộ'
silver,crm_contract_allocations,customer_segment_l3,varchar,1,,,"Phân khúc khách hàng cấp 3, dùng để nhóm khách hàng theo tiêu chí chi tiết nhất trong hệ thống CRM.",True,True,crm,phân khúc khách hàng cấp 3;customer segment level 3;segment L3;khách hàng phân khúc L3;customer segment tier 3;phân khúc khách hàng mức 3;customer classification level 3;segment khách hàng cấp ba,dimension,count;count_distinct,crm,'BFSI' ; 'DNL' ; 'GOV' ; 'UNKNOWN' ; 'Energy' ; 'Unname' ; 'Province'
silver,crm_contract_allocations,days_since_last_update,integer,1,,,Số ngày đã trôi qua kể từ khi bản ghi hợp đồng được cập nhật lần cuối.,True,False,crm,số ngày kể từ lần cập nhật cuối;days since last update;days since last modified;khoảng cách thời gian cập nhật cuối;thời gian kể từ cập nhật cuối;time since last change;số ngày sau cập nhật cuối;days since last change,metric,sum;avg;min;max,crm,
silver,crm_contract_allocations,deal_id,varchar,0,1.0,,Mã định danh duy nhất của giao dịch (deal) trong hệ thống CRM.,True,False,crm,Mã giao dịch;Deal ID;Mã deal;Mã cơ hội;Opportunity ID;Mã cơ hội bán hàng;Deal code;Mã giao dịch bán hàng;Deal identifier,id,count_distinct,crm,
silver,crm_contract_allocations,deal_name,varchar,0,,,Tên của giao dịch hoặc cơ hội bán hàng trong hệ thống CRM.,True,False,crm,tên giao dịch;deal name;Tên hợp đồng;contract name;Tên cơ hội bán hàng;opportunity name;Tên deal;sales deal name;Tên thỏa thuận;agreement name,dimension,count;count_distinct,crm,
silver,crm_contract_allocations,deal_stage_name,varchar,0,,,Tên giai đoạn của giao dịch trong quy trình bán hàng.,True,False,crm,giai đoạn giao dịch; tên giai đoạn; deal stage; stage name; giai đoạn bán hàng; trạng thái giao dịch; sales stage; stage of deal; tên giai đoạn bán hàng; deal pipeline stage,dimension,count;count_distinct,crm,'signed / ký hợp đồng'
silver,crm_contract_allocations,deployment_type,varchar,1,,,"Kiểu triển khai của hợp đồng, mô tả cách thức cung cấp sản phẩm hoặc dịch vụ cho khách hàng.",True,False,crm,kiểu triển khai;loại triển khai;phương thức triển khai;hình thức triển khai;deployment type;implementation type;deployment method;deployment mode;cách triển khai;cách cung cấp dịch vụ,dimension,count;count_distinct,crm,'Service' ; 'N/A' ; 'Standalone' ; ''
silver,crm_contract_allocations,due_date,date,1,,,Ngày đáo hạn của hợp đồng hoặc giai đoạn thanh toán.,True,False,crm,ngày đáo hạn;due date;ngày hết hạn;payment due date;ngày đến hạn;deadline;ngày thanh toán;hạn thanh toán;ngày chốt hợp đồng,time,,crm,
silver,crm_contract_allocations,fac_date,date,1,,,Ngày mà hợp đồng được phân bổ cho khách hàng hoặc đơn vị kinh doanh.,True,False,crm,ngày phân bổ;ngày ghi nhận phân bổ;ngày giao dịch;allocation date;contract allocation date;fac date;date of allocation;date of contract allocation;when was the contract allocated,time,none,crm,
silver,crm_contract_allocations,first_payment_date,date,1,,,Ngày khách hàng thực hiện thanh toán đầu tiên cho hợp đồng.,True,False,crm,ngày thanh toán đầu tiên;ngày trả tiền đầu;ngày nhận tiền đầu;first payment date;initial payment date;date of first payment;first payment day;khi nào khách hàng trả tiền lần đầu,time,none,crm,
silver,crm_contract_allocations,id,varchar,1,1.0,,Mã định danh duy nhất của bản ghi phân bổ hợp đồng trong CRM.,True,False,crm,ID;Mã ID;Mã bản ghi;Record ID;Identifier;Mã phân bổ hợp đồng;Contract allocation ID;Mã hợp đồng phân bổ;Unique identifier;Mã duy nhất,id,count_distinct,crm,
silver,crm_contract_allocations,invoice_activation_date,date,1,,,Ngày mà hoá đơn bắt đầu có hiệu lực và được kích hoạt.,True,False,crm,ngày kích hoạt hoá đơn; ngày bắt đầu hoá đơn; ngày hiệu lực hoá đơn; invoice activation date; invoice start date; invoice effective date; ngày kích hoạt invoice; ngày start invoice; ngày hoá đơn có hiệu lực; activation date of invoice,time,none,crm,
silver,crm_contract_allocations,is_recurring,varchar,1,,,Cho biết hợp đồng có tính chất định kỳ (có thu nhập lặp lại) hay không.,True,True,crm,hợp đồng định kỳ;có tính định kỳ;có tính lặp lại;định kỳ hay không;recurring contract;is recurring;subscription flag;recurring;có tái ký;có tái tạo,dimension,count;count_distinct,crm,'False' ; 'True'
silver,crm_contract_allocations,period_index,integer,1,,,"Chỉ số thứ tự của kỳ hợp đồng, xác định vị trí tuần tự của mỗi kỳ trong chuỗi hợp đồng.",True,False,crm,chỉ số kỳ; số thứ tự ký; period index; period number; ký hợp đồng; contract period index; ký thứ bao nhiêu; order of period; period sequence; số ký,dimension,count;count_distinct,crm,1 ; 2 ; 3 ; ...
silver,crm_contract_allocations,period_name,varchar,1,,,"Tên kỳ thời gian của hợp đồng, dùng để phân biệt các giai đoạn thanh toán hoặc cung cấp.",True,False,crm,Tên kỳ;Period name;Tên giai đoạn;Contract period name;Tên kỳ hợp đồng;Period label;Tên chu kỳ;Billing period name;Tên thời gian;Period,dimension,count;count_distinct,crm,'month'
