question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
1,Tổng số nhân viên hiện tại là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""filters"":[{""dimension"":""hr_master_report.current_status"",""operator"":""equals"",""values"":[""Active""]}]}",hr,"[""hr_master_report""]",Tổng số nhân viên hiện tại là bao nhiêu?,,,
2,Số nhân viên theo giới tính là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.gender""]}",hr,"[""hr_master_report""]",Số nhân viên theo giới tính là bao nhiêu?,,,
3,Số nhân viên theo job level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level""]}",hr,"[""hr_master_report""]",Số nhân viên theo job level là bao nhiêu?,,,
4,Số nhân viên theo division là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.division""]}",hr,"[""hr_master_report""]",Số nhân viên theo division là bao nhiêu?,,,
5,Số nhân viên theo department level 2 là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.department_level_2""]}",hr,"[""hr_master_report""]",Số nhân viên theo department level 2 là bao nhiêu?,,,
6,Số nhân viên theo management level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.management_level""]}",hr,"[""hr_master_report""]",Số nhân viên theo management level là bao nhiêu?,,,
7,Số nhân viên theo performance level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.performance_level""]}",hr,"[""hr_master_report""]",Số nhân viên theo performance level là bao nhiêu?,,,
8,Số nhân viên theo potential level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.potential_level""]}",hr,"[""hr_master_report""]",Số nhân viên theo potential level là bao nhiêu?,,,
9,Xu hướng tuyển dụng theo tháng là như thế nào?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date"",""granularity"":""month""}]}",hr,"[""hr_master_report""]",Xu hướng tuyển dụng theo tháng là như thế nào?,,,
10,Số nhân viên nghỉ việc theo tháng là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.termination_date"",""granularity"":""month""}]}",hr,"[""hr_master_report""]",Số nhân viên nghỉ việc theo tháng là bao nhiêu?,,,
11,Số nhân viên nghỉ việc theo lý do là gì?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.termination_reason""]}",hr,"[""hr_master_report""]",Số nhân viên nghỉ việc theo lý do là gì?,,,
14,Số nhân viên theo unit level 1 là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.business_unit_level_1""]}",hr,"[""hr_master_report""]",Số nhân viên theo unit level 1 là bao nhiêu?,,,
15,Số nhân viên theo tình trạng employment status là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.employment_status""]}",hr,"[""hr_master_report""]",Số nhân viên theo tình trạng employment status là bao nhiêu?,,,
16,Top 5 division có nhiều nhân viên nhất là những division nào?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.division""],""order"":{""hr_master_report.count"":""desc""},""limit"":5}",hr,"[""hr_master_report""]",Top 5 division có nhiều nhân viên nhất là những division nào?,,,
17,Department level 2 nào có nhiều nhân viên nhất?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.department_level_2""],""order"":{""hr_master_report.count"":""desc""},""limit"":1}",hr,"[""hr_master_report""]",Department level 2 nào có nhiều nhân viên nhất?,,,
18,Số nhân viên tuyển mới trong năm 2024 là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",hr,"[""hr_master_report""]",Số nhân viên tuyển mới trong năm 2024 là bao nhiêu?,,,
19,Số nhân viên nghỉ việc trong quý 1 năm 2025 là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.termination_date"",""dateRange"":[""2025-01-01"",""2025-03-31""]}]}",hr,"[""hr_master_report""]",Số nhân viên nghỉ việc trong quý 1 năm 2025 là bao nhiêu?,,,
20,Số nhân viên theo job level và giới tính là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level"",""hr_master_report.gender""]}",hr,"[""hr_master_report""]",Số nhân viên theo job level và giới tính là bao nhiêu?,,,
21,Số nhân viên theo division và management level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.division"",""hr_master_report.management_level""]}",hr,"[""hr_master_report""]",Số nhân viên theo division và management level là bao nhiêu?,,,
,,,,,,,,
23,Division nào có nhiều nhân viên nghỉ việc nhất?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.division""],""filters"":[{""dimension"":""hr_master_report.current_status"",""operator"":""equals"",""values"":[""Resigned""]}],""order"":{""hr_master_report.count"":""desc""},""limit"":1}",hr,"[""hr_master_report""]",Division nào có nhiều nhân viên nghỉ việc nhất?,,,
24,Số nhân viên tuyển mới theo tháng là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date"",""granularity"":""month""}]}",hr,"[""hr_master_report""]",Số nhân viên tuyển mới theo tháng là bao nhiêu?,,,
25,Số nhân viên tuyển mới theo job level là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date""}]}",hr,"[""hr_master_report""]",Số nhân viên tuyển mới theo job level là bao nhiêu?,,,
27,Phân bố performance level theo job level như thế nào?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level"",""hr_master_report.performance_level""]}",hr,"[""hr_master_report""]",Phân bố performance level theo job level như thế nào?,,,
28,Headcount theo job level và division là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level"",""hr_master_report.division""]}",hr,"[""hr_master_report""]",Headcount theo job level và division là bao nhiêu?,,,
29,Cơ cấu nhân sự theo unit level 1 là như thế nào?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.business_unit_level_1""]}",hr,"[""hr_master_report""]",Cơ cấu nhân sự theo unit level 1 là như thế nào?,,,
,,,,,,,,
31,Gender theo job level phân bố như thế nào?,"{""measures"":[""hr_master_report.count""],""dimensions"":[""hr_master_report.job_level"",""hr_master_report.gender""]}",hr,"[""hr_master_report""]",Gender theo job level phân bố như thế nào?,,,
32,Net headcount change theo tháng là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date"",""granularity"":""month""},{""dimension"":""hr_master_report.termination_date"",""granularity"":""month""}]}",hr,"[""hr_master_report""]",Net headcount change theo tháng là bao nhiêu?,,,
33,Số nhân viên tuyển mới và nghỉ việc theo tháng là bao nhiêu?,"{""measures"":[""hr_master_report.count""],""timeDimensions"":[{""dimension"":""hr_master_report.hire_date"",""granularity"":""month""},{""dimension"":""hr_master_report.termination_date"",""granularity"":""month""}]}",hr,"[""hr_master_report""]",Số nhân viên tuyển mới và nghỉ việc theo tháng là bao nhiêu?,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1,Tổng kế hoạch doanh thu MUST là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu MUST là bao nhiêu?,,,
2,Tổng kế hoạch doanh thu NICE là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_nice_amount""]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu NICE là bao nhiêu?,,,
3,Tổng kế hoạch doanh thu mục tiêu (MUST + NICE) là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""]}",biz,"[""finance_revenue_plan""]",Tổng kế hoạch doanh thu mục tiêu (MUST + NICE) là bao nhiêu?,,,
4,Kế hoạch doanh thu theo tháng là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""month""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu theo tháng là bao nhiêu?,,,
5,Kế hoạch doanh thu theo quý là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""quarter""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu theo quý là bao nhiêu?,,,
6,Kế hoạch doanh thu theo năm là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_target_amount""],""timeDimensions"":[{""dimension"":""finance_revenue_plan.plan_date"",""granularity"":""year""}]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu theo năm là bao nhiêu?,,,
7,Kế hoạch doanh thu MUST theo phân khúc khách hàng cấp 1 là bao nhiêu?,"{""measures"":[""finance_revenue_plan.total_plan_must_amount""],""dimensions"":[""finance_revenue_plan.customer_segment_l1""]}",biz,"[""finance_revenue_plan""]",Kế hoạch doanh thu MUST theo phân khúc khách hàng cấp 1 là bao nhiêu?,,,
