layer,schema,table,source,description,keep
gold,crm,crm_company_contacts,hive.bi_gold.crm_company_contacts,"[CRM] Bảng này lưu trữ thông tin liên hệ của các công ty, bao gồm tên công ty, tên hiển thị, họ và tên, địa chỉ email và nguồn hệ thống gốc. Nó hỗ trợ việc quản lý quan hệ khách hàng và cho phép thực hiện các báo cáo phân tích danh sách liên hệ, nguồn dữ liệu và thời gian cập nhật.",True
gold,crm,crm_contract_allocations,hive.bi_gold.crm_contract_allocations,"[CRM] Bảng crm_contract_allocations lưu trữ thông tin chi tiết về việc phân bổ hợp đồng cho khách hàng, bao gồm dữ liệu về sản phẩm, giá trị giao dịch, giai đoạn bán hàng và các chỉ số tài chính liên quan. Bảng này thường được sử dụng trong các báo cáo phân tích số tiền dự kiến thu nhận được từ khách hàng, hiệu suất bán hàng và quản lý vòng đời hợp đồng.",True
gold,crm,crm_contracts,hive.bi_gold.crm_contracts,"[CRM] Bảng **crm_contracts** lưu trữ thông tin chi tiết về các hợp đồng khách hàng, bao gồm dữ liệu về đối tác, loại hợp đồng, thời gian ký kết, giá trị và trạng thái thực hiện. Bảng này được sử dụng để phân tích tình hình hợp đồng đã ký, đánh giá hiệu suất bán hàng theo phân khúc, khu vực và thời gian, giá trị hợp đồng.",True
gold,crm,crm_deal_interested_product_stats,hive.bi_gold.crm_deal_interested_product_stats,"[CRM] Bảng này tổng hợp thống kê số lượng giao dịch theo danh mục sản phẩm, giúp doanh nghiệp nắm bắt nhu cầu và xu hướng mua sắm của khách hàng.",True
gold,crm,crm_deal_quotation_products,hive.bi_gold.crm_deal_quotation_products,"[CRM] Bảng này lưu trữ chi tiết các sản phẩm được báo giá trong các giao dịch CRM, bao gồm thông tin về giá, số lượng, chiết khấu và các yếu tố tài chính liên quan. Dữ liệu này thường được dùng để phân tích hiệu suất bán hàng, theo dõi trạng thái báo giá trong các báo cáo kinh doanh và dự báo.",True
gold,crm,crm_deal_reason_stats,hive.bi_gold.crm_deal_reason_stats,"[CRM] Bảng này tổng hợp thống kê số lượng giao dịch theo các lý do, cung cấp cái nhìn tổng quan về nguyên nhân thành công hoặc thất bại của các giao dịch trong hệ thống CRM. Dữ liệu chủ yếu bao gồm số lượng giao dịch và tên lý do liên quan, thường được sử dụng trong các báo cáo phân tích hiệu suất bán hàng và đánh giá nguyên nhân giao dịch.",True
gold,crm,crm_deals,hive.bi_gold.crm_deals,"[CRM] Bảng crm_deals lưu trữ thông tin chi tiết về các giao dịch trong hệ thống CRM, bao gồm dữ liệu về khách hàng, công ty, giai đoạn bán hàng, giá trị giao dịch, ngân sách dự kiến cho giao dịch, xác suất thành công và các chỉ số liên quan đến quản lý cơ hội bán hàng. Bảng này được sử dụng để phân tích hiệu suất bán hàng, doanh số bán hàng, theo dõi vòng đời giao dịch, đánh giá chiến lược kinh doanh, và hỗ trợ quản lý dự án/nhân sự bán hàng.",True
gold,crm,crm_partners,hive.bi_gold.crm_partners,"[CRM] Bảng crm_partners lưu trữ thông tin các đối tác kinh doanh, bao gồm dữ liệu nhận dạng, liên hệ, địa chỉ và trạng thái hợp đồng. Dữ liệu phục vụ quản lý quan hệ đối tác, phân tích hiệu suất và hỗ trợ chiến lược hợp tác.",True
gold,crm,crm_expected_revenue,hive.bi_gold.crm_expected_revenue,"[CRM] Bảng crm_expected_revenue lưu trữ thông tin dự báo và thực tế thanh toán liên quan đến các hợp đồng, khách hàng và sản phẩm, bao gồm số tiền, ngày đến hạn, tiền tệ và các thuộc tính phân khúc khách hàng. Bảng này được sử dụng để phân tích dòng tiền, dự báo doanh thu dự kiến và tạo các báo cáo hiệu suất bán hàng theo khu vực, sản phẩm và giai đoạn giao dịch.",True
gold,crm,crm_pricebook,hive.bi_gold.crm_pricebook,"[CRM] Bảng crm_pricebook lưu trữ thông tin bảng giá sản phẩm, gồm giá bán, chiết khấu, đơn vị tiền tệ, trạng thái và loại sản phẩm. Dữ liệu hỗ trợ quản lý chính sách giá, phân tích lợi nhuận, báo cáo định giá và quyết định chiến lược giá.",True
gold,crm,crm_sales_accounts,hive.bi_gold.crm_sales_accounts,[CRM] Bảng crm_sales_accounts lưu trữ thông tin chi tiết về các tài khoản khách hàng doanh nghiệp (company) trong hệ thống CRM.,True
gold,cx_cso,cx_cso_support_tickets,hive.bi_gold.cx_cso_support_tickets,"[CX_CSO] Bảng cx_cso_support_tickets lưu trữ thông tin chi tiết về các yêu cầu hỗ trợ khách hàng, bao gồm các giai đoạn xử lý, thời gian phản hồi, mức độ ưu tiên, loại vấn đề và đánh giá hài lòng của khách hàng. Dữ liệu này được sử dụng để phân tích hiệu suất dịch vụ, giám sát tuân thủ SLA, đánh giá mức độ nghiêm trọng và xu hướng khiếu nại, hỗ trợ báo cáo quản trị và cải tiến quy trình hỗ trợ. keywords: 'ticket; support ticket; customer support; helpdesk; incident; issue; request; SLA; overdue; violation; response time; resolution time; TTR; backlog; open ticket; closed ticket; resolved ticket; ticket status; priority; severity; urgency; agent; L1; L2; L3; L4; assigned; unassigned; customer group; segment; channel; email; chat; hotline; issue category; issue type; root cause; CSAT; satisfaction; sentiment; positive; negative; duplicate; reopened'",True
gold,cx_cso,cx_cso_ticket_tags,hive.bi_gold.cx_cso_ticket_tags,"[CX_CSO] Bảng cx_cso_ticket_tags lưu trữ các nhãn được gắn cho ticket hỗ trợ khách hàng, giúp phân loại và theo dõi nội dung yêu cầu. Dữ liệu phục vụ báo cáo phân tích xu hướng vấn đề, hiệu suất xử lý ticket và đánh giá mức độ phổ biến của các chủ đề.",True
gold,cx_cso,cx_sur_question_answer_choices,hive.bi_gold.cx_sur_question_answer_choices,"[CX_CSO] Lưu trữ danh sách chuẩn hóa các câu hỏi khảo sát và các phương án trả lời tương ứng. Bảng này dùng để tham chiếu (Lookup) các thông tin định tính như nội dung câu hỏi, loại hình khảo sát, vị trí trong hành trình khách hàng và các nhóm KPI liên quan.",True
gold,cx_cso,cx_sur_question_response,hive.bi_gold.cx_sur_question_response,"[CX_CSO] Bảng này lưu trữ các câu trả lời chi tiết của khách hàng trong các khảo sát, bao gồm nội dung trả lời, điểm số, thẻ, và thông tin liên quan đến hành trình, nhóm KPI và danh mục sản phẩm. Dữ liệu được sử dụng để phân tích mức độ hài lòng, đánh giá hiệu suất sản phẩm và hỗ trợ báo cáo KPI theo các phân khúc và điểm chạm khách hàng.",True
